,page,country,article_quality_est,Population
19941,Mario Beccaria,Italy,Stub,60296000.0
19942,Mario Bravo,Argentina,Start,45377000.0
19943,Mario Canahuati,Honduras,Stub,9864000.0
19944,Mario Catania,Italy,Stub,60296000.0
19945,Egils Levits,Latvia,Stub,1902000.0
19946,Mario Cimadevilla,Argentina,Stub,45377000.0
19947,Mario Michel,Saint Lucian,Start,
19948,César Augusto Guzzetti,Argentina,Stub,45377000.0
19949,Rene Claudel Mugenzi,United Kingdom,C,67160000.0
19950,Mario Zotta,Italy,Stub,60296000.0
19951,Jean-Baptiste Bienvenu-Martin,France,Start,64940000.0
19952,Marion Andres,Philippines,Stub,109581000.0
19953,Pierre Broussel,France,Stub,64940000.0
19954,Constance Cummings-John,Sierra Leone,C,7977000.0
19955,Constantin Popescu,Romania,Stub,19241000.0
19956,Marion Reilly,Australia,Start,25754000.0
19957,Tancred Constantinescu,Romania,Stub,19241000.0
19958,Kenji Fujimori,Peru,Start,32824000.0
19959,Marion Scrymgour,Australia,C,25754000.0
19960,Marisa Abbondanzieri,Italy,Stub,60296000.0
19961,Hugo Tolentino Dipp,Dominican Republic,C,10500000.0
19962,Mariya Ahmed Didi,Maldives,Start,541000.0
19963,Mariëtte Hamer,Netherlands,Start,17467000.0
19964,André Frédéric Hartmann,France,Stub,64940000.0
19965,Marja van der Tas,Netherlands,Stub,17467000.0
19966,Haji Ghulam Rabbani,Pakistan,Stub,220940000.0
19967,Thoriq Ibrahim,Maldives,Stub,541000.0
19968,Zafar Ahmed Ansari,Pakistan,Stub,220940000.0
19969,Mark Dudzic,United States,Stub,329878000.0
19970,Harry Massey,Australia,Stub,25754000.0
19971,Xiong Xiling,China,Stub,1402385000.0
19972,Abdullah II Al-Sabah,Kuwait,Start,4691000.0
19973,Mark Kemakeza,Solomon Islands,Start,715000.0
19974,Jaber II Al-Sabah,Kuwait,Stub,4691000.0
19975,Saad Al-Salim Al-Sabah,Kuwait,C,4691000.0
19976,Barcourgné Courmo,Niger,Start,24189000.0
19977,Qudsia Begum,India,Start,1400100000.0
19978,Charlotte Osei,Ghana,Start,31073000.0
19979,Georg Cracow,Germany,Start,83300000.0
19980,Mark Natanson,Lithuania,C,2794000.0
19981,Michel Craplet,France,Stub,64940000.0
19982,Jorge Cortell,Spain,C,47635000.0
19983,Mark Pearson (politician),Australia,Start,25754000.0
19984,James Laidley,Australia,Stub,25754000.0
19985,Marika Mitsotakis,Greece,C,10700000.0
19986,Willie Jimmy,Vanuatu,Start,321000.0
19987,Mark Sanchez (politician),United States,C,329878000.0
19988,Issam Bagdi,Syria,Stub,19398000.0
19989,P. K. Banerjee (Indian diplomat),India,Stub,1400100000.0
19990,Souhayr Belhassen,Tunisia,Stub,11896000.0
19991,Mihály Csáky,Hungary,C,9767000.0
19992,Beatriz de la Cueva,Spain,C,47635000.0
19993,Cui Yuan (Han dynasty),China,Start,1402385000.0
19994,Ettore Beggiato,Italy,Start,60296000.0
19995,Sekai Holland,Zimbabwe,C,14863000.0
19996,Valgerður Gunnarsdóttir,Iceland,Stub,368000.0
19997,Semiha Borovac,Bosnia-Herzegovina,Start,3281000.0
19998,"Jane Birdwood, Baroness Birdwood",United Kingdom,C,67160000.0
19999,Rosana Tositrakul,Thailand,Start,66534000.0
20000,Eugenio Manuvakola,Angola,Stub,32522000.0
20001,Sigrún Magnúsdóttir,Iceland,Stub,368000.0
20002,Valgerður Bjarnadóttir,Iceland,Stub,368000.0
20003,Sigríður Ingibjörg Ingadóttir,Iceland,Stub,368000.0
20004,Pétur Blöndal,Iceland,Stub,368000.0
20005,Seán Cunningham,Ireland,Stub,5003000.0
20006,Róbert Marshall,Iceland,Stub,368000.0
20007,Helgi Hjörvar,Iceland,Stub,368000.0
20008,Ragnheiður Elín Árnadóttir,Iceland,Stub,368000.0
20009,Ragnheiður Ríkharðsdóttir,Iceland,Stub,368000.0
20010,Katrín Júlíusdóttir,Iceland,Stub,368000.0
20011,Elín Hirst,Iceland,Stub,368000.0
20012,Bjarkey Gunnarsdóttir,Iceland,Stub,368000.0
20013,Mikhail Men,Russia,Start,146733000.0
20014,Markús Örn Antonsson,Iceland,Stub,368000.0
20015,Anna Mghwira,Nigeria,Start,206140000.0
20016,Marlene Malahoo Forte,Jamaica,Start,2809000.0
20017,Marlene Moses,Nauru,Start,11000.0
20018,Marlene Mungunda,Namibia,Stub,2541000.0
20019,Jerzy Czeszejko-Sochacki,Poland,Start,38368000.0
20020,Marmaduke Grove,Chile,Start,19470000.0
20021,P. F. Dahler,Netherlands,C,17467000.0
20022,Rui Falcão,Brazil,Stub,211812000.0
20023,Marouf al-Bakhit,Jordan,Start,10679000.0
20024,Federico Villarreal,Peru,Stub,32824000.0
20025,Sapa'u Ruperake Petaia,Samoan,Stub,
20026,Hafsa Mossi,Burundi,Start,11866000.0
20027,Najwan Halimi,Malaysia,C,32781000.0
20028,Germaine Kouméalo Anaté,Togo,Stub,8279000.0
20029,Jean-Boniface Assélé,Gabon,C,2231000.0
20030,Paul-Henri-Benjamin d'Estournelles de Constant,France,Start,64940000.0
20031,Louis Hunkanrin,Benin,C,12209000.0
20032,Paul Hazoumé,Benin,Start,12209000.0
20033,Zul Kifl Salami,Benin,Stub,12209000.0
20034,Albert Tévoédjrè,Benin,C,12209000.0
20035,Bonaventura Carles Aribau,Spain,Stub,47635000.0
20036,Granville Anderson,Canada,Start,38190000.0
20037,Klas Pontus Arnoldson,Sweden,Stub,10377000.0
20038,Abdoulaye Bio Tchané,Benin,Start,12209000.0
20039,Poul Møller,Denmark,Stub,5829000.0
20040,Carol Telbisz,Bulgaria,Start,6927000.0
20041,John Della Bosca,Australia,C,25754000.0
20042,Chen Kuang-fu,Taiwan,Start,23610000.0
20043,Léopold Gnininvi,Togo,C,8279000.0
20044,Owen Jennings,New Zealand,Start,4987000.0
20045,Marta Lafuente,Paraguay,Stub,7255000.0
20046,Lucie Talmanová,Czech Republic,Start,
20047,Kang Shih-ju,Taiwan,Stub,23610000.0
20048,Hsu Hsin-ying,Taiwan,Start,23610000.0
20049,Martha Hilda González Calderón,Mexico,C,127792000.0
20050,Martha Hildebrandt,Peru,C,32824000.0
20051,Mahbob-U-lah Koshani,Afghanistan,Stub,38928000.0
20052,Zeng Gong,China,Start,1402385000.0
20053,Martial Mathieu Kani,Congo,Start,5518000.0
20054,Jack Paff,Australia,Stub,25754000.0
20055,Martin Elechi,Nigeria,Stub,206140000.0
20056,Martin Fedor,Slovakia,Start,5462000.0
20057,Martin Magga,Solomon Islands,Start,715000.0
20058,Martin Mejstřík,Czech Republic,Stub,
20059,James Ocholi,Nigeria,Stub,206140000.0
20060,Martin Otieno Ogindo,Kenya,Stub,53528000.0
20061,Martin Ryan,Ireland,Stub,5003000.0
20062,Martin Sopage,Solomon Islands,Start,715000.0
20063,Nada Haffadh,Bahrain,Start,1465000.0
20064,Martin Williams (diplomat),Pitcairn Islands,Stub,
20065,Martin Ziguélé,Central African Republic,B,4830000.0
20066,Jassim bin Muhammed bin Jassim Al Thani,Qatar,Stub,2839000.0
20067,Martina Bunge,Germany,Stub,83300000.0
20068,Cavit Şadi Pehlivanoğlu,Turkey,Stub,83737000.0
20069,Marjolein Faber,Netherlands,Stub,17467000.0
20070,Philemon Quaye,Ghana,Stub,31073000.0
20071,Fazlollah Mousavi,Iran,Stub,84150000.0
20072,Anthony Reed Herbert,United Kingdom,Start,67160000.0
20073,Susan Leblanc,Canada,Start,38190000.0
20074,Mohamed Fawzi (general),Egypt,C,100803000.0
20075,Jay Lee,United Kingdom,Start,67160000.0
20076,Antonio Cabral de Melo,Spain,Start,47635000.0
20077,Saye Zerbo,Burkina Faso,Start,20903000.0
20078,Nasip Naço,Albania,Start,2838000.0
20079,Miguel de Riglos Bástida,Spain,Start,47635000.0
20080,Genc Ruli,Albania,Stub,2838000.0
20081,Eduard Halimi,Albania,Start,2838000.0
20082,Enkelejd Alibeaj,Albania,Stub,2838000.0
20083,Igli Cara,Albania,Stub,2838000.0
20084,Parid Cara,Albania,Stub,2838000.0
20085,Neil Francis Hawkins,United Kingdom,C,67160000.0
20086,Dirk Van der Maelen,Belgium,Stub,11515000.0
20087,Svandís Svavarsdóttir,Iceland,Stub,368000.0
20088,Political families of Andhra Pradesh,India,Start,1400100000.0
20089,Jose Sering,Philippines,Stub,109581000.0
20090,Mohammed Saleh Al Sada,Qatar,Start,2839000.0
20091,Mary Fitzgerald (trade unionist),South Africa,Stub,59628000.0
20092,Nadan Vidošević,Croatia,Start,4020000.0
20093,Hossein Tala,Iran,Stub,84150000.0
20094,Mary Kamala Gunaseelan,Sri Lanka,Start,21937000.0
20095,Luan Skuqi,Albania,Stub,2838000.0
20096,Sergei Stepanov (politician),Moldova,Stub,3535000.0
20097,Mary Musa,Sierra Leone,Start,7977000.0
20098,Matt McEachan,Australia,Stub,25754000.0
20099,Park Cha-jeong,"Korea, South",Stub,51781000.0
20100,Paul Babeu,United States,GA,329878000.0
20101,Mary Rose Tuitt,Montserratian,Start,
20102,Cheung Hon-chung,China,Stub,1402385000.0
20103,Chan Wing-chan,China,Stub,1402385000.0
20104,Ngan Kam-chuen,China,Stub,1402385000.0
20105,Petr Tomaily,Moldova,Stub,3535000.0
20106,Preparatory Committee for the Hong Kong Special Administrative Region,China,Stub,1402385000.0
20107,Selection Committee,China,Start,1402385000.0
20108,Lin Pin-kuan,Taiwan,Start,23610000.0
20109,Ji Pengfei,China,Start,1402385000.0
20110,Qiao Guanhua,China,Start,1402385000.0
20111,Huang Hua,China,C,1402385000.0
20112,Wu Xueqian,China,Stub,1402385000.0
20113,Qian Qichen,China,GA,1402385000.0
20114,Tang Jiaxuan,China,Start,1402385000.0
20115,Li Zhaoxing,China,Start,1402385000.0
20116,Mary Whelan,Ireland,Start,5003000.0
20117,Michael Laizer,Tanzania,Stub,59734000.0
20118,List of vice premiers of the People's Republic of China,China,Start,1402385000.0
20119,Tai Chin-wah,China,Start,1402385000.0
20120,Owen Horwood,South Africa,Start,59628000.0
20121,Clement Isong,Nigeria,C,206140000.0
20122,Slaheddine Baccouche,Tunisia,Stub,11896000.0
20123,Vice-President of Myanmar,Myanmar,Start,54704000.0
20124,Oleg Gudymo,Moldova,Stub,3535000.0
20125,Benito Ruíz de Salazar Vallecilla,Spain,Start,47635000.0
20126,María Eugenia Cordovez,Ecuador,Stub,17511000.0
20127,Delcídio do Amaral,Brazil,Stub,211812000.0
20128,María Rosa Díaz,Argentina,Start,45377000.0
20129,María Sumire,Incan,Start,
20130,Roger Clarke (politician),Jamaica,Stub,2809000.0
20131,William D. Coleman (politician),Liberia,C,5058000.0
20132,Sun Hongzhi,China,Start,1402385000.0
20133,Duke Li of Qi,China,Stub,1402385000.0
20134,Marquis Ai of Jin,China,Stub,1402385000.0
20135,Shang Shu (Jin),China,Stub,1402385000.0
20136,Marquis Xiao of Jin,China,Stub,1402385000.0
20137,Marquis Xiaozi of Jin,China,Stub,1402385000.0
20138,Chuzi I,China,Stub,1402385000.0
20139,Du'ao,China,Stub,1402385000.0
20140,Duke Huai of Jin,China,Start,1402385000.0
20141,Wuzhi (Qi),China,Start,1402385000.0
20142,Duke Xiang of Qi,China,C,1402385000.0
20143,King Dao of Zhou,China,Stub,1402385000.0
20144,Jia'ao,China,Stub,1402385000.0
20145,Duke Zhuang II of Qi,China,Start,1402385000.0
20146,An Ruzi,China,Start,1402385000.0
20147,Duke Dao of Qi,China,B,1402385000.0
20148,Duke Jian of Qi,China,Start,1402385000.0
20149,King Sheng of Chu,China,Stub,1402385000.0
20150,King Si of Zhou,China,Stub,1402385000.0
20151,Duke You of Jin,China,Stub,1402385000.0
20152,Chuzi II,China,Start,1402385000.0
20153,"Yan, Marquis of Tian",China,Start,1402385000.0
20154,King Min of Qi,China,C,1402385000.0
20155,Anne Ferris,Ireland,Stub,5003000.0
20156,Marquis Zhao of Jin,China,Stub,1402385000.0
20157,Selim Franklin,Canada,C,38190000.0
20158,Bartolomeo II della Scala,Italy,Stub,60296000.0
20159,Akbar A'lami,Iran,Stub,84150000.0
20160,Meysam Saeidi,Iran,Stub,84150000.0
20161,List of leaders of Tajikistan,Tajikistan,Start,9429000.0
20162,Mohammad Khan (athlete),Afghanistan,Stub,38928000.0
20163,Joe B. O'Hagan,Ireland,Stub,5003000.0
20164,Paul Copin-Albancelli,France,Start,64940000.0
20165,Nicolas Mosar,Luxembourg,Stub,632000.0
20166,Movladi Udugov,Chechen,C,
20167,İlter Türkmen,Turkey,Start,83737000.0
20168,Mas’ud El-Jibril,Nigeria,Stub,206140000.0
20169,Daniel Christmas,Canada,Stub,38190000.0
20170,Wanda Thomas Bernard,Canada,Start,38190000.0
20171,George Chiweshe,Zimbabwe,Start,14863000.0
20172,Wang Xizhi,China,Start,1402385000.0
20173,Ion Constantin Ciobanu,Moldova,Start,3535000.0
20174,Romulus Cioflec,Moldova,Start,3535000.0
20175,Emanuil Gavriliță,Moldova,Stub,3535000.0
20176,Gheorghe Malarciuc,Moldova,Start,3535000.0
20177,Andrei Lupan,Moldova,Start,3535000.0
20178,Constantin Stamati-Ciurea,Russia,Start,146733000.0
20179,Iustin Frățiman,Moldova,Start,3535000.0
20180,Norman Maurice Armitage,Colombia,Start,49444000.0
20181,Matheus Shikongo,Namibia,Stub,2541000.0
20182,Mathias Dzon,Congo,C,5518000.0
20183,Theodorus van Kooten,Netherlands,Stub,17467000.0
20184,Aad Nuis,Netherlands,Start,17467000.0
20185,Johann Hinkel,Germany,Stub,83300000.0
20186,Nobuko Motomura,Japan,Stub,125967000.0
20187,Mike Smithson (politics),United Kingdom,Start,67160000.0
20188,Myriam Spiteri Debono,Malta,Stub,522000.0
20189,Mathurin Nago,Benin,Start,12209000.0
20190,Nurali Yusifbayli,Azerbaijan,Start,10108000.0
20191,Mario Menéndez,Argentina,B,45377000.0
20192,Vera Aceva,Macedonia,Start,
20193,Ikuinyi O. Ibani,Nigeria,Stub,206140000.0
20194,Matt Baker (footballer),United Kingdom,Start,67160000.0
20195,Mariano Recalde,Argentina,Stub,45377000.0
20196,César Campinchi,France,Start,64940000.0
20197,Mihai Antonescu,Romania,Start,19241000.0
20198,Jules Renkin,Belgium,Start,11515000.0
20199,Andrew Archibald Macdonald,Canada,Start,38190000.0
20200,Julius Brutzkus,Lithuania,Start,2794000.0
20201,Nizamettin Taş,Turkey,Stub,83737000.0
20202,Matteo Agosta,Italy,Stub,60296000.0
20203,Bala Mohammed,Nigeria,Start,206140000.0
20204,Guillermo Ross,Spain,Start,47635000.0
20205,Dastan Sarygulov,Kyrgyzstan,Start,6594000.0
20206,Matthew Mbu Junior,Nigeria,Start,206140000.0
20207,Francisco de Merlo,Spain,Start,47635000.0
20208,Matthias Diependaele,Belgium,Stub,11515000.0
20209,Ñuño Fernández Lobo,Spain,Stub,47635000.0
20210,J. B. Dauda,Sierra Leone,Start,7977000.0
20211,Jean-Marie Dayot,Vietnam,Start,96209000.0
20212,Renzo De Felice,Italy,Start,60296000.0
20213,Matías Funes,Honduras,Start,9864000.0
20214,Francisco Tatad,Philippines,C,109581000.0
20215,Dean of Jersey,Jersey,Start,
20216,Maulana Shakhawat,Bangladesh,Stub,169809000.0
20217,Marcelė Kubiliūtė,Lithuania,Stub,2794000.0
20218,Konstantin von Notz,Germany,Start,83300000.0
20219,Maurice Freeman,South Africa,Stub,59628000.0
20220,Maurice Spector,Canada,C,38190000.0
20221,Mohammed Saleh,Nigeria,Start,206140000.0
20222,António Dembo,Angola,Start,32522000.0
20223,Igor Demidov,Russia,Stub,146733000.0
20224,Mavis Ama Frimpong,Ghana,Stub,31073000.0
20225,Mahipal Shastri,India,Stub,1400100000.0
20226,John Kotz (politician),United Kingdom,Stub,67160000.0
20227,Karl Weber (German politician),Germany,Stub,83300000.0
20228,Fuk'anggan,China,Start,1402385000.0
20229,Wajdi Mallat,Lebanon,C,6825000.0
20230,Anwar al-Khatib (Lebanon),Lebanon,Stub,6825000.0
20231,Abbas Ka'bi,Iran,Stub,84150000.0
20232,Jaume Matas,Spain,Stub,47635000.0
20233,Şenkal Atasagun,Turkey,Stub,83737000.0
20234,Sönmez Köksal,Turkey,Stub,83737000.0
20235,Max Stadler,Germany,Stub,83300000.0
20236,Silvio Schembri,Malta,Start,522000.0
20237,Jan Bernd Bicker,Netherlands,Start,17467000.0
20238,Grete Rehor,Austria,Stub,8914000.0
20239,Abd al-Razzaq al-Dandashi,Syria,Start,19398000.0
20240,Benito Owusu Bio,Ghana,Stub,31073000.0
20241,Electoral history of Mohammad Bagher Ghalibaf,Iran,Start,84150000.0
20242,Louis Riel Sr.,Canada,Start,38190000.0
20243,Kingsford Dibela,Papua New Guinea,Stub,8950000.0
20244,Mohamed Abdi Hayir,Somalia,Stub,15893000.0
20245,José Díez de la Cortina y Olaeta,Spain,FA,47635000.0
20246,Yinchang,China,C,1402385000.0
20247,Dimitrie Macedonski,Romania,Start,19241000.0
20248,Bozhidar Dimitrov,Bulgaria,C,6927000.0
20249,Dinh Van Than,Vanuatu,C,321000.0
20250,Tony Miller (California),United States,Start,329878000.0
20251,Maya Jribi,Tunisia,Start,11896000.0
20252,Fernand Cocq,Belgium,Stub,11515000.0
20253,Vlastimil Tusar,Czech Republic,Start,
20254,Ymer Dishnica,Albania,Stub,2838000.0
20255,José Reinaldo de Lima,Brazil,Start,211812000.0
20256,Dmitry Bludov,Russia,Start,146733000.0
20257,Dmitry Sipyagin,Russia,Start,146733000.0
20258,Roberto Sacasa,Nicaragua,Start,6596000.0
20259,Mayol Kur Akuei,South Sudan,Stub,11194000.0
20260,Constantin Dobrescu-Argeș,Romania,FA,19241000.0
20261,Dodo (prince),China,C,1402385000.0
20262,Doku Zavgayev,Chechen,Start,
20263,Yoshinobu Ohira,Japan,Stub,125967000.0
20264,Elmar Valiyev,Azerbaijan,Stub,10108000.0
20265,Andrés Domingo y Morales del Castillo,Cuba,Stub,11281000.0
20266,Emile Mota,"Congo, Dem. Rep. of",Start,
20267,Faimalaga Luka,Tuvalu,Start,10000.0
20268,Driss Lachgar,Morocco,Stub,35952000.0
20269,Taukelina Finikaso,Tuvalu,Start,10000.0
20270,Douwe Sirtema van Grovestins,Netherlands,Start,17467000.0
20271,Mark Brantley,Saint Kitts and Nevis,Start,
20272,Hilario Ramos Mexía,Argentina,Start,45377000.0
20273,Dragan Bogdanovski,Macedonia,Stub,
20274,Dragutin Jovanović-Lune,Serbia,Start,6957000.0
20275,Yannick Jadot,France,Start,64940000.0
20276,Gregorio Ramos Mexía,Spain,Start,47635000.0
20277,Hedwig Dransfeld,Germany,Start,83300000.0
20278,Michal Drobný,Slovakia,Start,5462000.0
20279,Franciszek Ksawery Drucki-Lubecki,Poland,C,38368000.0
20280,Hong Uwon,"Korea, South",Stub,51781000.0
20281,Kuan Bi-ling,Taiwan,Start,23610000.0
20282,Juan Ramírez de Velasco,Paraguay,Start,7255000.0
20283,Electoral history of John Ballance,New Zealand,Start,4987000.0
20284,Barbara Boggs Sigmund,United States,Start,329878000.0
20285,Ivor MacGillivray,Australia,Start,25754000.0
20286,Abílio Duarte,Cape Verde,Start,556000.0
20287,Tanneguy Duchâtel,France,Stub,64940000.0
20288,Medet Serhat,Turkey,C,83737000.0
20289,Gordon Nuttall,Australia,C,25754000.0
20290,Abdullah Haroon,Pakistan,Start,220940000.0
20291,Ivan Durnovo,Russia,Start,146733000.0
20292,Bridget Rice,Ireland,Stub,5003000.0
20293,"Salman, Crown Prince of Bahrain",Bahrain,C,1465000.0
20294,Sofia Dzerzhinskaya,Poland,Stub,38368000.0
20295,Mohamed al-Atifi,Yemen,Stub,29826000.0
20296,Mohamed Abdullah al-Kawsi,Yemen,Stub,29826000.0
20297,Ion Emanuel Florescu,Romania,Stub,19241000.0
20298,Barbu Catargiu,Romania,C,19241000.0
20299,Édouard Grinda,France,Stub,64940000.0
20300,Edvard Brandes,Denmark,Start,5829000.0
20301,Esperanza Martínez (politician),Paraguay,Stub,7255000.0
20302,Alfredo Moreno Charme,Chile,Stub,19470000.0
20303,Edwin Gebauer,Germany,Stub,83300000.0
20304,Alfredo Baquerizo,Ecuador,Stub,17511000.0
20305,Paul Eidelberg,Israel,Start,9216000.0
20306,Eidu,China,Start,1402385000.0
20307,Esteban Rodríguez Miró,Spain,GA,47635000.0
20308,Meghraj Tawar,India,C,1400100000.0
20309,Einar Thambarskelfir,Norway,C,5387000.0
20310,Eloy Alfaro,Ecuador,C,17511000.0
20311,Mehdi Isazadeh,Iran,Stub,84150000.0
20312,Dunya Maumoon,Maldives,Start,541000.0
20313,Edward C. Krause,United States,Stub,329878000.0
20314,Mehdi bey Hajinski,Azerbaijan,Start,10108000.0
20315,Rinchingiin Elbegdorj,Mongolia,C,3361000.0
20316,Mohammed bin Thani,Qatar,B,2839000.0
20317,Elena Frías de Chávez,Venezuela,Stub,28645000.0
20318,Mei Li Vos,Netherlands,C,17467000.0
20319,Carlos Maria Elías y de la Quintana,Peru,Stub,32824000.0
20320,Jennie Elias,United Kingdom,Stub,67160000.0
20321,Kazuko Saito,Japan,Stub,125967000.0
20322,Bess Nkabinde,South Africa,C,59628000.0
20323,Shunroku Hata,Japan,C,125967000.0
20324,Daniel Elmen,Russia,Stub,146733000.0
20325,Emil Ghuri,Palestinian Territory,Stub,5008000.0
20326,Behafarid,Iran,Stub,84150000.0
20327,João Bernardo de Miranda,Angola,C,32522000.0
20328,List of Presidents of Cape Verde,Cape Verde,Start,556000.0
20329,Engelbrekt Engelbrektsson,Sweden,Start,10377000.0
20330,Datu Amir Baraguir,Philippines,Stub,109581000.0
20331,Rui Pereira (politician),Portugal,Stub,10255000.0
20332,Abdinur Sheikh Mohamed,Somalia,Stub,15893000.0
20333,León Ortiz de Rozas,Spain,Start,47635000.0
20334,Ernest Boka,Ivorian,Stub,
20335,Josiah Mushore Chinamano,Zimbabwe,Stub,14863000.0
20336,Melhupra Vero,India,Stub,1400100000.0
20337,Jahangir Mohammad Adel,Bangladesh,Stub,169809000.0
20338,Melissa Helmbrecht,United States,C,329878000.0
20339,Ashrafuddin Ahmad Chowdhury,Bangladesh,Start,169809000.0
20340,Maciej Sulkiewicz,Azerbaijan,Start,10108000.0
20341,Le Mamea Ropati,Samoan,Start,
20342,Azzedine Mihoubi,Algeria,Start,44357000.0
20343,Omobola Johnson,Nigeria,Start,206140000.0
20344,Graciano Antuña,Spain,Stub,47635000.0
20345,Death of Mutula Kilonzo,Kenya,C,53528000.0
20346,"Members of the National Parliament of Papua New Guinea, 1972–1977",Papua New Guinea,Start,8950000.0
20347,Bekir Sami Kunduh,Turkey,Start,83737000.0
20348,Robert Ameerali,Suriname,Stub,605000.0
20349,Nicholas Gumbo,Kenya,Stub,53528000.0
20350,Joseph Rockson,Ghana,Stub,31073000.0
20351,Erlendur Patursson,Faroese,Start,
20352,Erling Olsen,Denmark,Stub,5829000.0
20353,Men Sam An,Cambodia,Stub,15497000.0
20354,Khalihenna Ould Errachid,Morocco,C,35952000.0
20355,"Sir William Erskine, 2nd Baronet",United Kingdom,C,67160000.0
20356,Franz Erwein von Schönborn-Wiesentheid,Germany,Start,83300000.0
20357,Valērija Seile,Latvia,Stub,1902000.0
20358,Marcel Storme,Belgium,Stub,11515000.0
20359,Alonso de Estrada,Spain,C,47635000.0
20360,Albert Henry Hime,Ireland,Start,5003000.0
20361,"Alexander Bernstein, Baron Bernstein of Craigweil",United Kingdom,Stub,67160000.0
20362,"Alexander Coutanche, Baron Coutanche",Jersey,C,
20363,Euclídes de Angulo,Colombia,Stub,49444000.0
20364,Proceso Alcala,Philippines,Start,109581000.0
20365,Alexander Tucker (commissioner),United Kingdom,Stub,67160000.0
20366,Andy Brooks,United Kingdom,Stub,67160000.0
20367,Mercedes Pulido,Venezuela,Stub,28645000.0
20368,Safa Giray,Turkey,Start,83737000.0
20369,Mereseini Vuniwaqa,Fiji,Start,896000.0
20370,Kabori Sarwar,Bangladesh,C,169809000.0
20371,Mahmoud Abdel Rahman Fahmy,Egypt,Start,100803000.0
20372,Pío Romero Bosque,El Salvador,Stub,6481000.0
20373,Johan Kõpp,Estonia,Start,1331000.0
20374,Giuseppe Falcomatà,Italy,Stub,60296000.0
20375,Johannes Olav Fallize,Luxembourg,C,632000.0
20376,President of Mauritius,Mauritius,GA,1265000.0
20377,Arjan El Fassed,Netherlands,Start,17467000.0
20378,Alfred R. Lea,United States,Stub,329878000.0
20379,Faydang Lobliayao,Laos,Start,7242000.0
20380,John Savage (Irish politician),Ireland,Start,5003000.0
20381,Hans Aas,Norway,Stub,5387000.0
20382,Fritz Platten,Switzerland,Start,8634000.0
20383,Felipe Berriozábal,Mexico,Start,127792000.0
20384,Felix Grundy McConnell,United States,Start,329878000.0
20385,Davis political family,United States,B,329878000.0
20386,Bayan Nouri,Iraq,Start,39725000.0
20387,Fennoman movement,Finland,Start,5529000.0
20388,Allan Powell,United Kingdom,Stub,67160000.0
20389,Allan Ross Welsh,Zimbabwe,C,14863000.0
20390,"Amir Bhatia, Baron Bhatia",United Kingdom,Start,67160000.0
20391,"Anthony Clarke, Baron Clarke of Hampstead",United Kingdom,Start,67160000.0
20392,"Anthony Grabiner, Baron Grabiner",United Kingdom,C,67160000.0
20393,Arnold Reedy,New Zealand,Start,4987000.0
20394,"Arthur Hazlerigg, 1st Baron Hazlerigg",United Kingdom,Start,67160000.0
20395,Audrey Ngaere Gale,New Zealand,Stub,4987000.0
20396,Barbara Goodman,New Zealand,Start,4987000.0
20397,Eliodoro Villazón,Bolivia,Start,11633000.0
20398,Darrell Figgis,Ireland,C,5003000.0
20399,Spomenka Hribar,Slovenia,C,2103000.0
20400,Hossein Ghods-Nakhai,Iran,Start,84150000.0
20401,Sardar Rafie Yanehsari,Iran,Stub,84150000.0
20402,Khair Bakhsh Marri,Pakistan,Start,220940000.0
20403,Huang Chih-hsiung,Taiwan,Start,23610000.0
20404,Domingo Belgrano,Italy,Start,60296000.0
20405,Juan Esteban Montero,Chile,Start,19470000.0
20406,Mey Norn,Cambodia,Stub,15497000.0
20407,Latifur Rahman,Bangladesh,Start,169809000.0
20408,Carlos Gálvez Betancourt,Mexico,Stub,127792000.0
20409,P. V. Kurian,India,Stub,1400100000.0
20410,Barry Holloway,Papua New Guinea,C,8950000.0
20411,"Beatrice Plummer, Baroness Plummer",United Kingdom,Stub,67160000.0
20412,Ben Couch,New Zealand,C,4987000.0
20413,Betsy Robertson Eyre,New Zealand,Stub,4987000.0
20414,Betty Bourke,New Zealand,Start,4987000.0
20415,Bill Rogers (New Zealand politician),New Zealand,Start,4987000.0
20416,List of Iraqi Information Ministers,Iraq,Stub,39725000.0
20417,Bob Francis (rugby referee),New Zealand,Start,4987000.0
20418,Charles-Claude Flahaut de la Billaderie,France,Stub,64940000.0
20419,Carlyle Glean,Grenada,Stub,113000.0
20420,Heinrich Fleißner,Germany,Start,83300000.0
20421,Gabriel von Salamanca-Ortenburg,Spain,Start,47635000.0
20422,Chakravarthi V. Narasimhan,India,Start,1400100000.0
20423,Charles Coghlan (politician),Ireland,FA,5003000.0
20424,Christina Allan Massey,New Zealand,Stub,4987000.0
20425,Wan Muhamad Noor Matha,Thailand,Start,66534000.0
20426,Clutha Mackenzie,New Zealand,Start,4987000.0
20427,Cora Louisa Burrell,New Zealand,Stub,4987000.0
20428,Philip Sandys Melvill,United Kingdom,Stub,67160000.0
20429,Shahab-ud-Din Virk,India,Stub,1400100000.0
20430,Abdul Haye,India,Start,1400100000.0
20431,Célestin Hennion,France,C,64940000.0
20432,"David Gold, Baron Gold",United Kingdom,Stub,67160000.0
20433,Joan Maetsuycker,Netherlands,Stub,17467000.0
20434,Ali Jarbawi,Palestinian Territory,Start,5008000.0
20435,Hendrik Swellengrebel,South Africa,Stub,59628000.0
